ASSEMBLY_RUN,SAMPLE_NAME,ct_modified,Prefilt_reads,set,ASSEMBLY_QUALITY
FAP73476_01,PV44771,NA,297,ALL,Passed
FAP73476_01,PV44772,NA,1709,ALL,Passed
FAP73476_01,PV44773,NA,2546,ALL,Passed
FAP73476_01,PV44776,NA,376,ALL,Passed
FAP73476_01,PV44777,NA,1122,ALL,Passed
FAP73476_01,PV44779,NA,238,ALL,Passed
FAP73476_01,PV44782,NA,166,BM,Failed
FAP73476_01,PV44785,24.802898315,2685,ALL,Passed
FAP73476_01,PV44788,NA,327,ALL,Passed
FAP71825_01,PV44789,20.28796883,3505,BM,Passed
FAP71825_01,PV44790,20.23682409,3038,BM,Passed
FAP71825_01,PV44791,27.291619705,403,BM,Passed
FAP71825_01,PV44792,NA,1508,BM,Passed
FAP71825_01,PV44794,15.49581513,1519,BM,Passed
FAP71825_01,PV44795,28.419916815,588,BM,Passed
FAP71825_01,PV44796,23.060338415,3509,BM,Passed
FAP72104_01,PV44798,NA,3914,ALL,Passed
FAP72104_01,PV44799,NA,1037,BM,Passed
FAP72104_01,PV44807,18.073942505,8442,ALL,Passed
FAP72104_01,PV44814,18.341864,4237,BM,Passed
FAP72104_01,PV44815,30.614947005,3363,ALL,Passed
FAP72104_01,PV44817,27.52388995,4422,ALL,Passed
FAP72104_01,PV44818,28.165126379999997,5357,ALL,Passed
FAP72104_01,PV44822,35.3243465,145,ALL,Failed
FAP72104_01,PV44824,16.53256009,6881,ALL,Passed
FAP72104_01,PV44826,21.842526794999998,7260,ALL,Passed
FAP71825_01,PV44827,17.648578505,4333,ALL,Passed
FAP71825_01,PV44828,17.942918145,6404,BM,Passed
FAP71825_01,PV44829,NA,2419,BM,Passed
FAP71825_01,PV44830,28.525467515000003,395,ALL,Passed
FAP71825_01,PV44831,19.761598315,5242,ALL,Passed
FAP71825_01,PV44832,23.388226065,4645,BM,Passed
FAP71825_01,PV44833,21.50020268,4694,ALL,Passed
