clade_who,lineage_display.final,ASSEMBLY_PIPELINE,week,n,Frequency
Omicron,XBB.1.9,SpikeID,2023-07-30,5,0.20833333333333334
Omicron,XBB.1.9,SpikeID,2023-06-25,3,0.25
Omicron,XBB.1.9,SpikeID,2023-07-09,2,0.14285714285714285
Omicron,XBB.1.9,SpikeID,2023-09-24,7,0.3333333333333333
Omicron,XBB.1.9,SpikeID,2023-09-03,18,0.2857142857142857
Omicron,XBB.1.9,SpikeID,2023-02-12,1,0.030303030303030304
recombinant,X,SpikeID,2023-04-09,1,0.08333333333333333
recombinant,X,SpikeID,2023-07-23,1,0.047619047619047616
recombinant,X,SpikeID,2023-09-10,1,0.012658227848101266
recombinant,X,SpikeID,2023-08-13,1,0.022727272727272728
recombinant,X,SpikeID,2023-06-25,1,0.08333333333333333
recombinant,X,SpikeID,2023-03-19,1,0.07692307692307693
recombinant,X,SpikeID,2023-12-17,1,0.14285714285714285
recombinant,X,SpikeID,2023-09-03,1,0.015873015873015872
recombinant,X,SpikeID,2023-12-03,1,0.07142857142857142
recombinant,X,SpikeID,2023-11-05,1,0.047619047619047616
recombinant,X,SpikeID,2023-12-31,2,0.0425531914893617
Alpha,B.1.1.7,WGS,2021-11-14,1,0.014084507042253521
Alpha,B.1.1.7,WGS,2021-03-07,19,0.12101910828025478
Alpha,B.1.1.7,WGS,2021-02-14,7,0.11864406779661017
Alpha,B.1.1.7,WGS,2021-04-04,70,0.3783783783783784
Alpha,B.1.1.7,WGS,2021-04-25,42,0.4666666666666667
Alpha,B.1.1.7,WGS,2021-01-10,1,0.010101010101010102
Alpha,B.1.1.7,WGS,2021-03-21,63,0.27631578947368424
Alpha,B.1.1.7,WGS,2021-04-18,42,0.328125
Alpha,B.1.1.7,WGS,2021-05-09,24,0.4897959183673469
Alpha,B.1.1.7,WGS,2021-03-28,76,0.31275720164609055
Alpha,B.1.1.7,WGS,2021-06-13,3,0.1875
Alpha,B.1.1.7,WGS,2021-01-24,2,0.017094017094017096
Alpha,B.1.1.7,WGS,2021-05-16,12,0.2727272727272727
Alpha,B.1.1.7,WGS,2021-07-04,1,0.03125
Alpha,B.1.1.7,WGS,2021-06-20,6,0.3
Alpha,B.1.1.7,WGS,2021-02-21,10,0.14285714285714285
Alpha,B.1.1.7,WGS,2021-05-23,14,0.3333333333333333
Alpha,B.1.1.7,WGS,2021-06-27,1,0.05555555555555555
Alpha,B.1.1.7,WGS,2021-02-07,7,0.06363636363636363
Alpha,B.1.1.7,WGS,2020-12-27,1,0.011235955056179775
Alpha,B.1.1.7,WGS,2021-03-14,55,0.2736318407960199
Alpha,B.1.1.7,WGS,2021-08-01,2,0.014285714285714285
